                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    122,                 1.1785,                0.87621,                 1.0942,                0.68462,                0.72074,                0.73116,                0.47758,                 1.1808,                0.90767,                  1.147,               0.006007,               0.006007,               0.006007
                    123,                 1.1829,                0.87846,                 1.1043,                0.69823,                0.71324,                0.73666,                0.47832,                 1.1792,                0.89604,                 1.1367,               0.005974,               0.005974,               0.005974
                    124,                 1.1556,                0.86422,                  1.097,                0.67314,                0.72511,                0.73804,                0.47778,                  1.178,                0.89231,                 1.1363,               0.005941,               0.005941,               0.005941
                    125,                 1.1725,                0.87128,                 1.0933,                 0.6843,                0.72115,                0.74156,                0.47987,                  1.171,                0.90039,                 1.1256,               0.005908,               0.005908,               0.005908
                    126,                 1.1696,                0.87313,                 1.0944,                0.70722,                 0.7155,                0.74526,                0.48947,                 1.1733,                0.88529,                 1.1345,               0.005875,               0.005875,               0.005875
                    127,                 1.1603,                0.86123,                 1.0884,                 0.7042,                0.72577,                0.74125,                 0.4814,                 1.1801,                0.89054,                 1.1372,               0.005842,               0.005842,               0.005842
                    128,                 1.1513,                0.85893,                 1.0899,                0.68235,                0.73869,                0.73873,                0.47663,                 1.1997,                0.88539,                 1.1499,               0.005809,               0.005809,               0.005809
                    129,                  1.169,                 0.8638,                  1.096,                0.69557,                0.72112,                0.74496,                0.48799,                 1.1604,                0.88145,                 1.1216,               0.005776,               0.005776,               0.005776
                    130,                 1.1615,                0.86024,                 1.0971,                0.70874,                0.71295,                0.74926,                0.49161,                 1.1586,                0.89755,                 1.1232,               0.005743,               0.005743,               0.005743
                    131,                 1.1595,                0.86376,                 1.1014,                0.68018,                0.72658,                0.73816,                 0.4854,                 1.1608,                0.88135,                 1.1331,                0.00571,                0.00571,                0.00571
                    132,                 1.1683,                0.88666,                 1.1012,                0.68806,                0.72986,                0.73726,                0.48089,                 1.1724,                0.87764,                 1.1365,               0.005677,               0.005677,               0.005677
                    133,                 1.1611,                0.87224,                 1.0918,                0.69428,                 0.7206,                0.74838,                0.48873,                 1.1538,                0.86752,                 1.1247,               0.005644,               0.005644,               0.005644
                    134,                 1.1585,                0.86839,                 1.1006,                0.68515,                0.73359,                0.74053,                0.48546,                  1.159,                0.88618,                 1.1228,               0.005611,               0.005611,               0.005611
                    135,                 1.1727,                0.86452,                 1.0984,                0.68603,                0.72624,                0.73855,                0.47525,                 1.1819,                0.90423,                 1.1341,               0.005578,               0.005578,               0.005578
                    136,                 1.1468,                0.85585,                 1.0867,                0.67345,                0.73699,                0.74119,                0.47811,                 1.1826,                0.91523,                 1.1263,               0.005545,               0.005545,               0.005545
                    137,                  1.168,                0.87369,                 1.0996,                0.69483,                0.73756,                0.74636,                0.48904,                   1.15,                0.88694,                 1.1188,               0.005512,               0.005512,               0.005512
                    138,                 1.1715,                0.87618,                 1.1039,                0.69959,                0.71719,                0.73688,                0.47868,                 1.1645,                0.87398,                 1.1349,               0.005479,               0.005479,               0.005479
                    139,                  1.142,                0.86048,                 1.0874,                 0.6941,                0.73154,                0.74032,                0.47582,                 1.1838,                0.88771,                 1.1326,               0.005446,               0.005446,               0.005446
                    140,                 1.1576,                0.86494,                 1.0976,                0.70615,                0.71766,                0.73864,                 0.4776,                 1.1761,                0.89229,                 1.1289,               0.005413,               0.005413,               0.005413
                    141,                 1.1408,                0.84296,                 1.0929,                0.69547,                0.73242,                0.74295,                0.48172,                 1.1853,                0.89751,                 1.1336,                0.00538,                0.00538,                0.00538
                    142,                 1.1391,                0.84837,                 1.0917,                0.69638,                0.74095,                0.75421,                0.49233,                 1.1602,                 0.8771,                 1.1163,               0.005347,               0.005347,               0.005347
                    143,                 1.1453,                0.84589,                  1.084,                 0.7108,                0.73303,                0.75288,                0.49231,                 1.1618,                0.85476,                 1.1187,               0.005314,               0.005314,               0.005314
                    144,                 1.1401,                0.84429,                 1.0856,                0.71697,                 0.7319,                0.75641,                0.49362,                 1.1688,                0.86186,                 1.1253,               0.005281,               0.005281,               0.005281
                    145,                  1.147,                0.85089,                 1.0837,                0.69399,                0.74152,                0.74932,                 0.4889,                 1.1681,                0.87955,                 1.1264,               0.005248,               0.005248,               0.005248
                    146,                  1.142,                0.83921,                 1.0844,                0.69581,                0.72738,                0.74747,                0.48655,                 1.1717,                0.88864,                 1.1343,               0.005215,               0.005215,               0.005215
                    147,                 1.1526,                 0.8536,                 1.0918,                 0.7124,                0.72059,                0.74932,                0.49153,                 1.1687,                 0.8678,                 1.1266,               0.005182,               0.005182,               0.005182
                    148,                 1.1277,                0.84585,                 1.0781,                0.71582,                0.73372,                0.75506,                0.49054,                 1.1655,                0.85922,                 1.1257,               0.005149,               0.005149,               0.005149
                    149,                 1.1411,                0.84516,                 1.0942,                0.70107,                0.73133,                0.74585,                 0.4841,                 1.1755,                0.88018,                 1.1305,               0.005116,               0.005116,               0.005116
                    150,                 1.1448,                0.84168,                 1.0833,                0.71149,                0.71154,                0.74484,                0.47924,                 1.1814,                0.86653,                 1.1296,               0.005083,               0.005083,               0.005083
                    151,                 1.1364,                0.83815,                  1.086,                 0.6942,                0.72673,                0.74889,                  0.489,                 1.1638,                0.88203,                 1.1199,                0.00505,                0.00505,                0.00505
                    152,                 1.1364,                0.83942,                 1.0846,                0.71926,                0.71295,                 0.7547,                0.48794,                 1.1727,                0.87465,                 1.1301,               0.005017,               0.005017,               0.005017
                    153,                 1.1434,                0.83766,                 1.0855,                0.69095,                0.73473,                0.74956,                0.48266,                 1.1818,                0.84902,                 1.1316,               0.004984,               0.004984,               0.004984
                    154,                 1.1333,                0.83753,                 1.0848,                0.69247,                0.72794,                0.74331,                0.48413,                 1.1776,                0.89569,                 1.1339,               0.004951,               0.004951,               0.004951
                    155,                 1.1476,                0.83154,                 1.0856,                 0.6995,                0.73467,                0.75155,                0.48717,                  1.167,                0.87055,                 1.1292,               0.004918,               0.004918,               0.004918
                    156,                 1.1421,                0.84007,                 1.0844,                  0.705,                0.72059,                0.75078,                0.49241,                 1.1634,                0.85655,                 1.1236,               0.004885,               0.004885,               0.004885
